0xcd472fe8aa4f85a5c272bd2dc99ff665d976c1177c030fc104c35db03c4f410b,1 hr 12 mins ago,                  QNT ,       444.4444444,                  ETH ,         6.0000000,         0.0135000
0x0b4d3157f688648543b1587939ce5d1d95facaa5cb87f10fce5a38a9e71e39e9,1 hr 12 mins ago,                  QNT ,        94.5532316,                  ETH ,         1.2764686,         0.0135000
0xea46c1a21634e212c2a8da966dc7c2b0e2f4e336a9e0064ec2904734ae5116be,1 hr 15 mins ago,                ABYSS ,      3019.3961208,                  ETH ,         0.1510000,         0.0000500
0x5f29275c957776f4b8afebfc7be548a21f556aa1b830acffdeea1c3654eff4c4,1 hr 15 mins ago,                  FTM ,     46860.1971154,                  ETH ,         2.8300000,         0.0000604
0xe2356bb4cd518f0b1fc26bb9e4a4d26b6c838d20cbe0e859ce655a78bc72942c,1 hr 15 mins ago,                  FTM ,     15882.9000000,                  ETH ,         0.9594196,         0.0000604
0x373f83cbbedb887c39a91a2dfa8fc7b2f034dec77ed0e344f26c31dbeb59402a,1 hr 17 mins ago,                ABYSS ,      2943.1372549,                  ETH ,         0.1501000,         0.0000510
0x312c9fdb6efe68ad314dea270432efa6d3796326f76e16362f234adf31590f8c,1 hr 17 mins ago,                  ETH ,         0.2000000,                 SNTR ,   1482997.4340000,         0.0000001
0x51fd8bad4ec875e22b5af0b18adb3ddbc314dcaec622eeef756d702a46c88495,1 hr 17 mins ago,                  ETH ,         1.0168786,                 SNTR ,   7506902.2840000,         0.0000001
0x82c9ba6fa3a73d5fc43bbe70aa54cb7a15fb3de93ecc7d71927d2763e8b2fd11,1 hr 17 mins ago,                  FTM ,     65573.7704918,                  ETH ,         4.0000000,         0.0000610
0xd591de7b588731f9fced3db7923bb535cf5c8143c876474818c38db00b62d2cd,1 hr 17 mins ago,                  ETH ,         0.3500000,                  LEV ,      5000.0000000,         0.0000700
0x0410a7e9669f1aeb7d195561ce01c8055404c57ceb43db6a8d7cc3ed9bc349e4,1 hr 19 mins ago,                  ETH ,         0.3214915,                  ADH ,      7681.9543421,         0.0000419
0x2d57471137b99b5aeca29c598f6ffae08b3273336cef46b09a1c6601e4543b01,1 hr 19 mins ago,                  ETH ,         1.6317150,                 ICNQ ,      2622.5349170,         0.0006222
0xe7801010278af9fa067fc57b4cc66b00964baa35835b529246834c41d49c88f9,1 hr 26 mins ago,                 MRPH ,      3710.9100000,                  ETH ,         1.8999918,         0.0005120
0x44a2162b755291cda31517108cb73fc4100e2fa2a49b9182b0d7ceccffdfc426,1 hr 26 mins ago,                 MRPH ,       976.5497000,                  ETH ,         0.5000000,         0.0005120
0x16a7034f88b8c091647ae58176f72b176772e9a961bce2cf9b07f681759d5610,1 hr 26 mins ago,                 MRPH ,       382.4531000,                  ETH ,         0.1958186,         0.0005120
0xd28bb1526bc8b8f5b41e93381d27403e818365a0e47e98e43bfd95d1915e50b9,1 hr 26 mins ago,                 MRPH ,      2175.9600000,                  ETH ,         1.1671849,         0.0005364
0x86ee94045029377337540b3eddd9c032e21c662cedb642905f53dfbd3ff011c7,1 hr 28 mins ago,                 FOAM ,      2217.7866489,                  ETH ,         0.8000000,         0.0003607
0x67cb1151e49760287b71d40bb05e067262f36816eb9463381a7efb7c17710565,1 hr 29 mins ago,                  ETH ,         2.3493730,                 ICNQ ,      3793.4106149,         0.0006193
0xdd472d4e4e24d70670e9b4bdf561b390a824f37160c59254d03c908bbd525c07,1 hr 30 mins ago,                 ICNQ ,      1839.5756864,                  ETH ,         1.1430755,         0.0006214
0x85e645882178fbeb1bc51dc667a39e529fbfe3bd46211b3da530ccee05b31d19,1 hr 30 mins ago,                  ETH ,         0.2000000,                 SNTR ,   1497729.3750000,         0.0000001
0x713e631ed34c597ef9685c07c813c090e1b15fb93ea5738a122088ffd5c17a81,1 hr 30 mins ago,                  ETH ,         0.9528625,                 SNTR ,   7099950.6053000,         0.0000001
0x9ac04243118d2b9d253347362b8359ffa4e8ef27674e50cffa26a5a83f534156,1 hr 30 mins ago,                  ETH ,         0.4000000,                 SNTR ,   2978253.1030000,         0.0000001
0xdcace971e8b3418a2386d9d9d04c8f5b8f9446923b1c2c09c049bca8a6621e81,1 hr 30 mins ago,                  DEC ,       717.6931000,                  ETH ,         2.0622194,         0.0028734
0x14d4d6c1f1345e10808bc21af616b2771cfe8f4cc90ea4ab6dd278f081f6c374,1 hr 30 mins ago,                  DEC ,        56.7430556,                  ETH ,         0.1634200,         0.0028800
